 -250.00000000    0.00000000    0.00000000    0.00000000
 -237.81593724   -0.00000577   -0.00000333    0.00000000
 -227.49045986   -0.00001615   -0.00000933    0.00000001
 -218.74005491   -0.00002294   -0.00001324    0.00000001
 -211.32445717   -0.00002721   -0.00001571   -0.00000004
 -205.04005203   -0.00002833   -0.00001636   -0.00000003
 -199.71428472   -0.00002848   -0.00001644    0.00000015
 -195.20092239   -0.00003205   -0.00001850    0.00000052
 -191.37603890   -0.00004259   -0.00002459    0.00000101
 -188.13461206   -0.00006104   -0.00003524    0.00000150
 -185.38764004   -0.00008592   -0.00004960    0.00000186
 -183.05969755   -0.00011460   -0.00006617    0.00000205
 -181.08686484   -0.00014443   -0.00008339    0.00000205
 -179.41497264   -0.00017332   -0.00010006    0.00000190
 -177.99811478   -0.00019992   -0.00011543    0.00000163
 -176.79738773   -0.00022358   -0.00012908    0.00000128
 -175.77982239   -0.00024408   -0.00014092    0.00000089
 -174.76225704   -0.00026469   -0.00015282    0.00000040
 -173.74469170   -0.00028504   -0.00016457   -0.00000018
 -172.72712636   -0.00030475   -0.00017595   -0.00000087
 -171.70956101   -0.00032338   -0.00018671   -0.00000167
 -170.69199567   -0.00034049   -0.00019658   -0.00000258
 -169.67443032   -0.00035559   -0.00020530   -0.00000359
 -168.65686498   -0.00036819   -0.00021257   -0.00000471
 -167.63929964   -0.00037778   -0.00021811   -0.00000593
 -166.62173429   -0.00038387   -0.00022162   -0.00000724
 -165.60416895   -0.00038597   -0.00022284   -0.00000863
 -164.58660360   -0.00038363   -0.00022149   -0.00001008
 -163.56903826   -0.00037644   -0.00021734   -0.00001159
 -162.55147292   -0.00036402   -0.00021017   -0.00001314
 -161.53390757   -0.00034608   -0.00019981   -0.00001470
 -160.51634223   -0.00032237   -0.00018612   -0.00001625
 -159.49877688   -0.00029275   -0.00016902   -0.00001778
 -158.48121154   -0.00025717   -0.00014848   -0.00001925
 -157.46364620   -0.00021566   -0.00012451   -0.00002064
 -156.44608085   -0.00016837   -0.00009721   -0.00002193
 -155.42851551   -0.00011556   -0.00006672   -0.00002309
 -154.41095016   -0.00005759   -0.00003325   -0.00002409
 -153.39338482    0.00000507    0.00000293   -0.00002492
 -152.37581947    0.00007185    0.00004148   -0.00002555
 -151.35825413    0.00014206    0.00008202   -0.00002595
 -150.34068879    0.00021493    0.00012409   -0.00002613
 -149.32312344    0.00028963    0.00016722   -0.00002605
 -148.30555810    0.00036525    0.00021087   -0.00002571
 -147.28799275    0.00044081    0.00025450   -0.00002510
 -146.27042741    0.00051531    0.00029752   -0.00002422
 -145.25286207    0.00058775    0.00033934   -0.00002307
 -144.23529672    0.00065711    0.00037939   -0.00002167
 -143.21773138    0.00072240    0.00041708   -0.00002000
 -142.20016603    0.00078265    0.00045187   -0.00001811
 -141.18260069    0.00083698    0.00048323   -0.00001599
 -140.16503535    0.00088457    0.00051071   -0.00001368
 -139.14747000    0.00092469    0.00053387   -0.00001120
 -138.12990466    0.00095672    0.00055236   -0.00000858
 -137.11233931    0.00098017    0.00056590   -0.00000586
 -136.09477397    0.00099467    0.00057427   -0.00000306
 -135.07720863    0.00100000    0.00057735   -0.00000022
 -134.05964328    0.00099607    0.00057508    0.00000263
 -133.04207794    0.00098294    0.00056750    0.00000543
 -132.02451259    0.00096082    0.00055473    0.00000817
 -131.00694725    0.00093006    0.00053697    0.00001081
 -129.98938191    0.00089112    0.00051449    0.00001331
 -128.97181656    0.00084462    0.00048764    0.00001565
 -127.95425122    0.00079127    0.00045684    0.00001780
 -126.93668587    0.00073186    0.00042254    0.00001973
